lat,lon,temp,humid,cloud,wind
-11.38,43.28,300.73,75,89,3.7
-23.7,133.88,279.15,38,0,2.1
42.8,93.45,289.72,33,100,13.14
-33.04,-71.63,294.15,46,0,8.7
-3.1,-67.94,298.33,94,60,1.35
4.75,115.0,298.93,94,75,0.5
61.28,108.01,280.88,75,100,5.61
53.86,120.88,282.74,47,35,1.47
-34.0,24.73,286.47,73,11,2.69
-35.17,173.17,288.44,58,1,7.29
5.35,48.53,301.56,77,70,3.58
37.2,-94.35,294.7,33,1,6.7
20.87,-90.4,302.48,69,100,8.15
20.5,-10.07,306.66,10,0,2.77
42.06,59.38,289.15,72,47,3.1
34.69,135.8,292.46,52,75,3.6
5.11,-1.25,300.78,84,0,2.44
-0.13,-67.09,297.15,94,40,3.6
24.69,46.72,301.15,42,75,4.1
27.08,-101.53,303.71,50,29,4.02
-17.71,-39.25,295.64,76,20,1.98
66.15,-65.71,263.15,72,5,2.6
38.73,-27.07,289.15,77,20,4.15
40.28,97.2,284.62,71,100,1.39
52.53,17.58,279.26,83,27,4.47
25.52,90.22,294.71,88,37,1.56
25.54,-80.41,301.8,58,1,3.1
31.61,34.76,288.57,78,3,0.89
-3.75,-73.25,301.15,83,40,3.1
-3.35,-64.71,300.15,83,75,1.5
60.4,-1.35,282.15,70,89,6.7
9.54,-13.68,300.61,83,53,3.02
36.96,36.2,289.82,88,93,1.6
64.75,177.48,267.09,79,0,3.0
39.65,66.96,290.15,59,20,4.1
54.48,53.47,283.85,66,0,2.14
34.24,-117.29,307.64,9,5,3.1
61.36,63.58,283.26,93,70,2.76
-19.98,57.61,295.93,85,21,0.89
24.09,32.91,297.29,29,50,6.06
3.12,35.6,302.49,51,21,5.74
36.0,-120.13,303.27,12,20,6.2
7.98,49.82,301.63,74,24,3.03
18.69,12.92,300.95,13,0,3.54
54.77,-101.86,282.15,26,20,2.6
-13.7,-76.22,293.48,73,75,4.6
-16.26,-44.16,291.4,79,83,0.44
36.62,29.12,290.15,72,0,0.5
-32.95,-60.64,287.94,58,75,4.6
46.36,8.97,284.25,87,9,1.5
25.02,37.27,298.11,51,0,6.22
